Genome_Ctomentella_ID_contig2A14T224.1	Genome_Ctomentella_ID_contig85A2T178.1	unknown
Genome_Psomniferum_ID_LOC113313632	Genome_Psomniferum_ID_LOC113320373	unknown
Genome_Epleiosperma_ID_evm.model.CTG_359.253	Genome_Epleiosperma_ID_evm.model.CTG_196.336	unknown
Genome_Cchinensis_ID_KAF9593581.1	Genome_Cchinensis_ID_KAF9591979.1	unknown
Genome_Ecalifornica_ID_EscalH1.3G201500	Genome_Ecalifornica_ID_EscalH1.4G057000	unknown
Genome_Ecalifornica_ID_EscalH1.3G201500	Genome_Ecalifornica_ID_EscalH1.2G240800	unknown
Genome_Ecalifornica_ID_EscalH1.3G201500	Genome_Ecalifornica_ID_EscalH1.1G427800	unknown
Genome_Ecalifornica_ID_EscalH1.4G057000	Genome_Ecalifornica_ID_EscalH1.2G240800	unknown
Genome_Ecalifornica_ID_EscalH1.4G057000	Genome_Ecalifornica_ID_EscalH1.1G427800	unknown
Genome_Ecalifornica_ID_EscalH1.2G240800	Genome_Ecalifornica_ID_EscalH1.1G427800	unknown
Genome_Acoerulea_ID_Aqcoe2G177200	Genome_Acoerulea_ID_Aqcoe1G473400	unknown
Genome_Vitis_ID_VIT_208s0040g02630	Genome_Vitis_ID_VIT_206s0004g04090	unknown
Genome_Vitis_ID_VIT_208s0040g02630	Genome_Vitis_ID_VIT_213s0019g00250	unknown
Genome_Vitis_ID_VIT_206s0004g04090	Genome_Vitis_ID_VIT_213s0019g00250	unknown
Genome_Ctomentella_ID_contig4A60T109.1	Genome_Ctomentella_ID_contig62A6T89.1	unknown
Genome_Psomniferum_ID_LOC113321820	Genome_Psomniferum_ID_LOC113309128	unknown
Genome_Epleiosperma_ID_evm.model.CTG_219.17.1	Genome_Epleiosperma_ID_evm.model.CTG_212.51_evm.model.CTG_212.52	unknown
Genome_Ecalifornica_ID_EscalH1.4G094800	Genome_Ecalifornica_ID_EscalH1.4G463800	unknown
Genome_Psomniferum_ID_LOC113305090	Genome_Psomniferum_ID_LOC113287944	unknown
Genome_Acoerulea_ID_Aqcoe1G238800	Genome_Acoerulea_ID_Aqcoe1G238700	unknown
Genome_Acoerulea_ID_Aqcoe1G238800	Genome_Acoerulea_ID_Aqcoe1G238900	unknown
Genome_Acoerulea_ID_Aqcoe1G238700	Genome_Acoerulea_ID_Aqcoe1G238900	unknown
Genome_Vitis_ID_VIT_212s0059g02230	Genome_Vitis_ID_VIT_210s0116g01860	unknown
Genome_Vitis_ID_VIT_212s0059g02230	Genome_Vitis_ID_VIT_212s0059g02180	unknown
Genome_Vitis_ID_VIT_212s0059g02230	Genome_Vitis_ID_VIT_210s0116g01870	unknown
Genome_Vitis_ID_VIT_212s0059g02230	Genome_Vitis_ID_VIT_212s0059g02220	unknown
Genome_Vitis_ID_VIT_212s0059g02230	Genome_Vitis_ID_VIT_212s0059g02160	unknown
